controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist,reference_type,weight_label
MPC_best_ramp,cloud_edge,1,cloud_edge_seed1,0,8.646722971432164,0.1388888888888889,0.0,0.1388888888888889,1.0,0.021898368999359912,0.00010949184499679955,0.0,0.0,2.3221973179348647e-05,0.0,0.00011485118364085167,2.3095613261496683e-08,12.5,2.0833333333333335,50.0,894.5846774988846,3644.3832999793813,"{'[0.0,0.1)': 12.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_ramp,load_step,0,load_step_seed0,0,8.856141246657957,3.0555555555555554,0.0,3.0555555555555554,1.0,2.0848600456335413,0.010424300228167706,0.0,0.0,0.007292501978098859,0.0,0.010972261280871365,0.0002403258289150301,19.5,3.3333333333333335,80.0,1523.7973444416032,5669.2554000765085,"{'[0.0,0.1)': 20.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_ramp,load_step,1,load_step_seed1,0,9.189999204192103,0.0,0.0,0.0,1.0,0.011620164761216766,5.8100823806083825e-05,0.0,0.0,2.227161945616863e-05,0.0,6.106990905407894e-05,7.064105380020274e-09,11.5,1.9166666666666667,46.0,651.5663994437394,4422.636599978432,"{'[0.0,0.1)': 11.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_ramp,mixed,0,mixed_seed0,0,8.933467323603054,2.361111111111111,0.0,2.361111111111111,1.0,1.2053790207498924,0.006026895103749462,0.0,0.0,0.0026211999606687237,0.0,0.006343250265552852,8.013579526610977e-05,23.0,3.8333333333333335,92.0,1807.414546665354,3721.626800019294,"{'[0.0,0.1)': 23.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_ramp,mixed,1,mixed_seed1,0,9.327873740197878,0.0,0.0,0.0,1.0,0.009416576890920899,4.708288445460449e-05,0.0,0.0,2.657342826912169e-05,0.0,4.927340470528563e-05,3.909910302737503e-09,12.5,2.0833333333333335,50.0,1032.5685525018748,4337.868700036779,"{'[0.0,0.1)': 12.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_ramp,wind_gust,0,wind_gust_seed0,0,9.448648766549749,2.361111111111111,0.0,2.361111111111111,1.0,1.5301391318148023,0.007650695659074011,0.0,0.0,0.0037839655071930894,0.0,0.00805199541553811,0.0001289455094075574,23.5,4.0,96.0,1324.294948474724,4352.262299973518,"{'[0.0,0.1)': 23.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_ramp,wind_gust,1,wind_gust_seed1,0,9.55447139622747,0.0,0.0,0.0,1.0,0.005007579798812073,2.5037898994060365e-05,0.0,0.0,1.1016173562014054e-05,0.0,2.619927661814958e-05,1.107510407242614e-09,13.0,2.1666666666666665,52.0,497.80262833228335,2648.0443999171257,"{'[0.0,0.1)': 13.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,cloud_edge,0,cloud_edge_seed0,0,9.038202277924308,2.083333333333333,0.0,2.083333333333333,1.0,1.5500317458057384,0.0077501587290286925,0.0,0.0,0.004923876009925985,0.0,0.008157401493811917,0.00013270214638324735,27.0,4.5,108.0,1703.4691230532999,3933.847700012848,"{'[0.0,0.1)': 27.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,cloud_edge,1,cloud_edge_seed1,0,8.646722971432164,0.1388888888888889,0.0,0.1388888888888889,1.0,0.021898368999359912,0.00010949184499679955,0.0,0.0,2.3221973179348647e-05,0.0,0.00011485118364085167,2.3095613261496683e-08,12.5,2.0833333333333335,50.0,894.5846774988846,3644.3832999793813,"{'[0.0,0.1)': 12.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,load_step,0,load_step_seed0,0,8.856141246657957,3.0555555555555554,0.0,3.0555555555555554,1.0,2.0848600456335413,0.010424300228167706,0.0,0.0,0.007292501978098859,0.0,0.010972261280871365,0.0002403258289150301,19.5,3.3333333333333335,80.0,1523.7973444416032,5669.2554000765085,"{'[0.0,0.1)': 20.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,load_step,1,load_step_seed1,0,9.189999204192103,0.0,0.0,0.0,1.0,0.011620164761216766,5.8100823806083825e-05,0.0,0.0,2.227161945616863e-05,0.0,6.106990905407894e-05,7.064105380020274e-09,11.5,1.9166666666666667,46.0,651.5663994437394,4422.636599978432,"{'[0.0,0.1)': 11.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,mixed,0,mixed_seed0,0,8.933467323603054,2.361111111111111,0.0,2.361111111111111,1.0,1.2053790207498924,0.006026895103749462,0.0,0.0,0.0026211999606687237,0.0,0.006343250265552852,8.013579526610977e-05,23.0,3.8333333333333335,92.0,1807.414546665354,3721.626800019294,"{'[0.0,0.1)': 23.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,mixed,1,mixed_seed1,0,9.327873740197878,0.0,0.0,0.0,1.0,0.009416576890920899,4.708288445460449e-05,0.0,0.0,2.657342826912169e-05,0.0,4.927340470528563e-05,3.909910302737503e-09,12.5,2.0833333333333335,50.0,1032.5685525018748,4337.868700036779,"{'[0.0,0.1)': 12.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,wind_gust,0,wind_gust_seed0,0,9.448648766549749,2.361111111111111,0.0,2.361111111111111,1.0,1.5301391318148023,0.007650695659074011,0.0,0.0,0.0037839655071930894,0.0,0.00805199541553811,0.0001289455094075574,23.5,4.0,96.0,1324.294948474724,4352.262299973518,"{'[0.0,0.1)': 23.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,wind_gust,1,wind_gust_seed1,0,9.55447139622747,0.0,0.0,0.0,1.0,0.005007579798812073,2.5037898994060365e-05,0.0,0.0,1.1016173562014054e-05,0.0,2.619927661814958e-05,1.107510407242614e-09,13.0,2.1666666666666665,52.0,497.80262833228335,2648.0443999171257,"{'[0.0,0.1)': 13.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
