candidate,train_score_vs_gr,hold_score_vs_gr,hold_rank,ramp95_kw_per_min_delta_vs_gr,cap_violation_pct_total_delta_vs_gr,throughput_kwh_delta_vs_gr,idod_delta_vs_gr,flip_per_day_delta_vs_gr,split_id,base_soft_low,prep_power_cap_kw,lookahead_gain,min_useful_cmd_kw
Candidate_05,0.204937475459011,-0.027692768194832736,12,0.008774519678278025,0.0,0.05239684999148603,5.779995053569801e-06,-1.0,core_to_short_medium,0.32,4.0,0.01,0.5
Candidate_01,-0.030523708078498343,0.15420866656090573,1,0.0025928481395887104,0.0,0.34274537076100486,-3.7606990252455914e-05,1.375,mild_to_severe,0.32,3.0,0.01,0.25
Candidate_02,-0.030523708078498343,0.15815047690641662,2,0.006894402873879102,0.0,0.36661897957990686,-3.864894483252262e-05,1.25,mild_to_severe,0.32,4.0,0.01,0.25
Candidate_03,-0.030523708078498343,0.16395150118895302,3,0.006894402873879102,0.0,0.39038698753127754,-4.052864756993947e-05,1.25,mild_to_severe,0.32,5.0,0.01,0.25
Candidate_05,-0.004847559516279468,0.17066966244118204,4,0.006894402873879102,0.0,0.3662869017145365,-3.7286211484416224e-05,1.5,mild_to_severe,0.32,4.0,0.01,0.5
Candidate_04,-0.023714231988458075,0.21311952645673338,5,0.008563579583899639,0.0,0.4666952833190585,5.0950139075878545e-06,1.75,mild_to_severe,0.32,4.0,0.02,0.25
Candidate_07,-0.030523708078498343,0.39618989343618416,6,0.019152587788443753,0.0,0.5832667948703598,-8.372524093132761e-05,4.75,mild_to_severe,0.34,4.0,0.01,0.25
Candidate_06,-0.030523708078498343,0.4613532972849669,7,0.017242530223299468,0.0,0.5507414290849937,-8.099453612774683e-05,6.25,mild_to_severe,0.34,3.0,0.01,0.25
Candidate_08,-0.023714231988458075,0.5029558056861709,8,0.019329444053052924,0.0,0.7200145620502347,-3.503038505920991e-05,6.125,mild_to_severe,0.34,4.0,0.02,0.25
Candidate_09,-0.02424091324413437,0.5156194183721037,9,0.01965562409085564,0.0,0.7184596957505383,-3.201506208515498e-05,6.375,mild_to_severe,0.34,4.0,0.02,0.5
Candidate_10,-0.02424091324413437,0.8651308708769693,10,0.0419799618170309,0.017361111111111112,1.1409661711054673,-4.083807918200868e-05,10.125,mild_to_severe,0.36,4.0,0.02,0.5
Candidate_11,-0.009102908786517136,0.9814609726185843,11,0.059397283969151005,0.026041666666666668,1.4584091739645375,0.0003217074909995397,9.625,mild_to_severe,0.36,5.0,0.04,0.5
Candidate_12,-0.009102908786517136,1.127401051397401,12,0.05996063574693977,0.017361111111111112,1.9372470693123693,0.00014541901466862345,10.75,mild_to_severe,0.38,5.0,0.04,0.5
Candidate_01,-0.0408212088126116,0.12755969236714051,1,-0.0011130912984622654,0.0,0.15057087743040665,1.3734190773348888e-05,1.799999999999999,seed0_to_seed1,0.32,3.0,0.01,0.25
Candidate_02,-0.040313009287758245,0.13020494111869513,2,0.0023281524889693372,0.0,0.16738711418695518,1.3733467773160415e-05,1.6999999999999993,seed0_to_seed1,0.32,4.0,0.01,0.25
Candidate_03,-0.039959113473261205,0.13449186473022734,3,0.0023281524889693372,0.0,0.1847348538813849,1.3066650278824223e-05,1.6999999999999993,seed0_to_seed1,0.32,5.0,0.01,0.25
Candidate_05,-0.009792638074843055,0.14051129660825515,4,0.0023281524889693372,0.0,0.16821751872958512,1.5050192491861385e-05,1.8999999999999986,seed0_to_seed1,0.32,4.0,0.01,0.5
Candidate_04,-0.0012869403167118793,0.14332548309594928,5,0.001097057749367636,0.0,0.2004834444685326,2.8100856392647314e-05,1.799999999999999,seed0_to_seed1,0.32,4.0,0.02,0.25
Candidate_07,0.07609576448622106,0.2042277005685298,6,0.003194131740198003,0.0,0.23507254319940696,3.0205773713067627e-05,2.799999999999999,seed0_to_seed1,0.34,4.0,0.01,0.25
Candidate_06,0.10477052518137409,0.22768366295240103,7,0.002446052372317098,0.0,0.217334182589757,1.205419910192988e-05,3.3999999999999986,seed0_to_seed1,0.34,3.0,0.01,0.25
Candidate_09,0.1381740481385409,0.24523239066618013,8,0.0033356167518849844,0.0,0.2753600403471266,4.0756851033514467e-05,3.3999999999999986,seed0_to_seed1,0.34,4.0,0.02,0.5
Candidate_08,0.12723761624512522,0.24666994991766206,9,0.0033356167518849844,0.0,0.2815359782381319,3.9337848083255715e-05,3.3999999999999986,seed0_to_seed1,0.34,4.0,0.02,0.25
Candidate_10,0.2946082499434718,0.36840735086514426,10,0.013838816743211524,0.0,0.42991185902566476,2.7874258206887835e-05,4.899999999999999,seed0_to_seed1,0.36,4.0,0.02,0.5
Candidate_11,0.37804981659941783,0.39619547095162766,11,0.02103910615456961,0.006944444444444445,0.5455647244292663,6.5017264011368e-05,4.399999999999999,seed0_to_seed1,0.36,5.0,0.04,0.5
Candidate_12,0.4501814115267479,0.4408159390473513,12,0.02103910615456961,0.0,0.7498220114631129,0.00023095106702671162,4.300000000000001,seed0_to_seed1,0.38,5.0,0.04,0.5
Candidate_01,0.12755969236714051,-0.0408212088126116,1,0.0015337508597426108,0.0,0.22036817240867412,-3.262670366030419e-05,-1.8999999999999986,seed1_to_seed0,0.32,3.0,0.01,0.25
Candidate_02,0.13020494111869513,-0.040313009287758245,2,0.0015337508597426108,0.0,0.222650822707247,-3.345954432416897e-05,-1.8999999999999986,seed1_to_seed0,0.32,4.0,0.01,0.25
Candidate_03,0.13449186473022734,-0.039959113473261205,3,0.0015337508597426108,0.0,0.22431748937391438,-3.429648901976637e-05,-1.8999999999999986,seed1_to_seed0,0.32,5.0,0.01,0.25
Candidate_05,0.14051129660825515,-0.009792638074843055,4,0.012683339457840503,0.0,0.219764602599136,-3.222837576623402e-05,-1.5,seed1_to_seed0,0.32,4.0,0.01,0.5
Candidate_04,0.14332548309594928,-0.0012869403167118793,5,0.0035256608474263373,0.0,0.30310729385431356,-7.858995036225092e-06,-1.5999999999999943,seed1_to_seed0,0.32,4.0,0.02,0.25
Candidate_07,0.2042277005685298,0.07609576448622106,6,0.010474319540165311,0.0,0.3282836459271583,-8.599288714312048e-05,-0.19999999999999574,seed1_to_seed0,0.34,4.0,0.01,0.25
