timestamp,base_kw,cmd_kw,grid_kw,soc,soc_next,mode,rg_state,desired_kw,p_imp_cap,p_exp_cap,e_imp,e_exp,e1_imp,e1_exp,cpu_ms,scenario,seed,scenario_seed,day_id,load_kw,pv_kw,wind_kw,peak_flag,controller,reference_type,weight_label
2026-01-01 01:28:00,17.2461738472206,-4.959253153106274e-07,17.246174343145917,0.4999785009342748,0.49997850101279634,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,16.848200000822544,mixed,0,mixed_seed0,0,32.51390344569307,0.0,15.267729598472467,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:29:00,19.30870774678233,-4.959253153106274e-07,19.308708242707645,0.49997850101279634,0.49997850109131786,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,18.025700002908707,mixed,0,mixed_seed0,0,38.62459443746462,0.06111772127400092,19.254768969408293,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:30:00,13.359809937683462,-4.959253153106274e-07,13.359810433608777,0.49997850109131786,0.4999785011698394,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,19.3382001016289,mixed,0,mixed_seed0,0,33.68494788611565,0.0,20.32513794843219,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:31:00,20.92244548482878,-4.959253153106274e-07,20.922445980754098,0.4999785011698394,0.4999785012483609,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,25.920000043697655,mixed,0,mixed_seed0,0,38.341213015617306,0.3786774534867282,17.040090077301798,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:32:00,18.655800813409904,-4.959253153106274e-07,18.65580130933522,0.4999785012483609,0.49997850132688243,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,22.89949997793883,mixed,0,mixed_seed0,0,33.32518701843675,0.0,14.669386205026848,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:33:00,15.502672917737168,-4.959253153106274e-07,15.502673413662484,0.49997850132688243,0.49997850140540395,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,15.716499998234212,mixed,0,mixed_seed0,0,32.57058721449386,0.24757641312299658,16.820337883633698,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:34:00,22.180833832906394,-4.959253153106274e-07,22.18083432883171,0.49997850140540395,0.4999785014839255,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,16.57320000231266,mixed,0,mixed_seed0,0,35.036087504942245,0.0,12.85525367203585,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:35:00,28.860022178666284,0.01809960848951689,28.841922570176767,0.4999785014839255,0.499975326114015,PS,MID,0.01809960848951689,40.0,40.0,,,,,1505.3758000722155,mixed,0,mixed_seed0,0,36.99277056594964,0.0,8.132748387283357,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:36:00,26.71570204605471,0.0075144046599415135,26.70818764139477,0.499975326114015,0.499974007797408,PS,MID,0.0075144046599415135,40.0,40.0,,,,,1991.171200061217,mixed,0,mixed_seed0,0,34.81936104025066,0.0,8.103658994195955,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:37:00,26.756821892289047,0.004319248558295715,26.75250264373075,0.499974007797408,0.49997325003450305,PS,MID,0.004319248558295715,40.0,40.0,,,,,2022.793299984187,mixed,0,mixed_seed0,0,32.95590006434789,0.0,6.199078172058841,0,MPC_best_balanced,MPC,0.01|0.01|0.001
